first,second
v_ppc,9.956191254352134e-9
v_akgsyn,8.89636339306919e-9
pep,-5.571466631896809
nadh,-9.986748185123732
mu,1.3937309550409776e-9
pyr,-5.4983155248013285
atp,-8.032304181421589
adp,-10.334889274415636
v_pyk,1.4863298052510292e-8
glc_ext,-2.995732273553991
nadp,-8.377232132141815
nadph,-9.986670044575915
v_burn,2.5849271308011904e-8
v_ed,1.2606916597482074e-8
v_lp,1.1229664111833809e-8
v_nadtrdh,-1.0017327462823355e-8
nad,-8.377310272689632
oac,-8.373894259336101
v_pts,4.247294174743978e-9
g6p,-11.294061732377774
v_gdhm,6.3489353556003175e-9
akg,-9.815814299025703
lac,-7.258882886145019
glu,-12.066572289770205
v_ldh,1.0274034353338896e-8
