first,second
v_ppc,1.1173353854339983e-29
v_akgsyn,1.1173475165356988e-29
pep,-7.112517332773671
gdhm,3.530937969850717e-17
ppc,3.532234431918731e-17
mu,0.8793106832007107
nadh,-10.015059328191674
pyr,-5.080307530113996
atp,-8.05904782549935
adp,-10.361632918493395
v_pyk,2.7586213663014214
glc_ext,-9.210340371976182
pts,0.010568982543402584
ldh,0.08899243558350073
nadp,-8.405621415759708
nadph,-10.015059328193807
v_burn,0.9999999999000002
pyk,0.021898485965854197
emp,0.010949242982530288
nadtrdh,3.530888524518637e-17
v_lp,2.7586213663014214
lp,0.027590878043666573
v_nadtrdh,-1.9592022649674867e-30
nad,-8.405621415757574
oac,-7.485416997387666
v_pts,2.2586213663514214
g6p,-8.588525901140235
v_gdhm,2.7958583958041084e-33
akgsyn,3.530898078699752e-17
akg,-10.541160115628507
lac,-6.984072723277134
glu,-9.388587765395009
v_ldh,2.7586213663014214
v_emp,1.3793106831507107
burn,0.09999997498104549
